respondent_id,brand,image
R001,Our Store,cute
R001,Our Store,affordable
R001,Brand A,affordable
R001,Brand A,classic
R001,Brand D,cute
R001,Brand D,eco_friendly
R001,Brand D,unique
R002,Our Store,unique
R002,Brand A,affordable
R002,Brand A,classic
R002,Brand A,functional
R002,Brand B,affordable
R002,Brand B,trendy
R002,Brand C,functional
R002,Brand C,unique
R002,Brand D,functional
R003,Our Store,trendy
R003,Brand A,affordable
R003,Brand A,functional
R003,Brand B,trendy
R003,Brand C,classic
R003,Brand D,functional
R004,Our Store,cute
R004,Our Store,affordable
R004,Brand A,functional
R004,Brand A,unique
R004,Brand B,cute
R004,Brand C,luxurious
R004,Brand C,unique
R004,Brand D,classic
R004,Brand D,eco_friendly
R005,Our Store,affordable
R005,Our Store,classic
R005,Brand A,classic
R005,Brand B,cute
R005,Brand B,trendy
R005,Brand B,classic
R005,Brand C,luxurious
R005,Brand D,functional
R006,Our Store,cute
R006,Brand A,classic
R006,Brand B,luxurious
R006,Brand C,luxurious
R006,Brand D,eco_friendly
R007,Our Store,luxurious
R007,Brand A,affordable
R007,Brand B,trendy
R008,Our Store,cute
R008,Our Store,trendy
R008,Our Store,unique
R008,Brand A,functional
R008,Brand B,cute
R008,Brand B,affordable
R008,Brand B,trendy
R008,Brand D,classic
R008,Brand D,functional
R009,Brand C,luxurious
R009,Brand C,unique
R010,Our Store,cute
R010,Our Store,luxurious
R010,Brand A,affordable
R010,Brand A,functional
R010,Brand C,luxurious
R010,Brand C,unique
R010,Brand D,luxurious
R011,Our Store,cute
R011,Our Store,unique
R011,Brand A,affordable
R011,Brand A,trendy
R011,Brand A,classic
R011,Brand A,functional
R011,Brand B,luxurious
R011,Brand C,luxurious
R012,Our Store,cute
R012,Our Store,unique
R012,Brand A,cute
R012,Brand A,affordable
R012,Brand A,classic
R012,Brand B,affordable
R012,Brand D,classic
R013,Our Store,cute
R013,Our Store,trendy
R013,Our Store,eco_friendly
R013,Brand A,classic
R013,Brand B,trendy
R013,Brand D,cute
R013,Brand D,eco_friendly
R013,Brand D,functional
R014,Brand B,affordable
R014,Brand B,trendy
R014,Brand D,classic
R014,Brand D,eco_friendly
R015,Our Store,unique
