mesh_code,ward_code,ward_ja,lat,lon,night_pop,day_pop,day_resident,inflow_work,inflow_school
5339254544,13111,大田区,35.540625,139.6984375,1017,480,282,71,127
5339254614,13111,大田区,35.53645833333333,139.7046875,321,2728,125,2560,43
5339254623,13111,大田区,35.53645833333333,139.7078125,420,365,122,243,0
5339254631,13111,大田区,35.53854166666667,139.7015625,0,30,0,30,0
5339254632,13111,大田区,35.53854166666667,139.7046875,0,29,0,29,0
5339254633,13111,大田区,35.540625,139.7015625,0,30,0,30,0
5339254634,13111,大田区,35.540625,139.7046875,444,211,181,30,0
5339254641,13111,大田区,35.53854166666667,139.7078125,0,115,0,115,0
5339254642,13111,大田区,35.53854166666667,139.7109375,0,114,0,114,0
5339254643,13111,大田区,35.540625,139.7078125,861,346,231,115,0
5339254644,13111,大田区,35.540625,139.7109375,981,421,307,114,0
5339254731,13111,大田区,35.53854166666667,139.7140625,0,25,0,25,0
5339254732,13111,大田区,35.53854166666667,139.71718750000002,0,23,0,23,0
5339254733,13111,大田区,35.540625,139.7140625,333,106,83,23,0
5339254734,13111,大田区,35.540625,139.71718750000002,0,23,0,23,0
5339255522,13111,大田区,35.54270833333333,139.6984375,11,258,2,63,193
5339255524,13111,大田区,35.54479166666666,139.6984375,0,256,0,64,192
5339255611,13111,大田区,35.54270833333333,139.7015625,324,421,55,366,0
5339255612,13111,大田区,35.54270833333333,139.7046875,1542,809,444,365,0
5339255613,13111,大田区,35.54479166666666,139.7015625,417,486,120,366,0
5339255614,13111,大田区,35.54479166666666,139.7046875,1603,1059,694,365,0
5339255621,13111,大田区,35.54270833333333,139.7078125,1806,964,439,400,125
5339255622,13111,大田区,35.54270833333333,139.7109375,1085,823,300,399,124
5339255623,13111,大田区,35.54479166666666,139.7078125,1396,1049,524,400,125
5339255624,13111,大田区,35.54479166666666,139.7109375,1630,1091,566,400,125
5339255631,13111,大田区,35.546875,139.7015625,0,56,0,56,0
5339255632,13111,大田区,35.546875,139.7046875,1067,352,296,56,0
5339255634,13111,大田区,35.54895833333333,139.7046875,460,208,152,56,0
5339255641,13111,大田区,35.546875,139.7078125,2719,1262,936,194,132
5339255642,13111,大田区,35.546875,139.7109375,1383,733,408,194,131
5339255643,13111,大田区,35.54895833333333,139.7078125,1264,694,369,194,131
5339255644,13111,大田区,35.54895833333333,139.7109375,1457,728,403,194,131
5339255711,13111,大田区,35.54270833333333,139.7140625,643,824,212,424,188
5339255712,13111,大田区,35.54270833333333,139.71718750000002,1917,1238,629,423,186
5339255713,13111,大田区,35.54479166666666,139.7140625,1000,890,280,423,187
5339255714,13111,大田区,35.54479166666666,139.71718750000002,1128,963,353,423,187
5339255721,13111,大田区,35.54270833333333,139.7203125,262,211,48,163,0
5339255722,13111,大田区,35.54270833333333,139.72343750000002,0,163,0,163,0
5339255723,13111,大田区,35.54479166666666,139.7203125,2151,908,746,162,0
5339255724,13111,大田区,35.54479166666666,139.72343750000002,1125,625,462,163,0
5339255731,13111,大田区,35.546875,139.7140625,1433,1315,423,449,443
5339255732,13111,大田区,35.546875,139.71718750000002,1098,1153,263,449,441
5339255733,13111,大田区,35.54895833333333,139.7140625,1266,1294,404,448,442
5339255734,13111,大田区,35.54895833333333,139.71718750000002,1410,1337,446,450,441
5339255741,13111,大田区,35.546875,139.7203125,1644,857,427,430,0
5339255742,13111,大田区,35.546875,139.72343750000002,1253,814,383,431,0
5339255743,13111,大田区,35.54895833333333,139.7203125,1816,926,496,430,0
5339255744,13111,大田区,35.54895833333333,139.72343750000002,1807,963,532,431,0
5339255813,13111,大田区,35.54479166666666,139.7265625,710,275,231,44,0
5339255814,13111,大田区,35.54479166666666,139.7296875,444,175,130,45,0
5339255821,13111,大田区,35.54270833333333,139.7328125,0,15,0,15,0
5339255822,13111,大田区,35.54270833333333,139.7359375,0,14,0,14,0
5339255823,13111,大田区,35.54479166666666,139.7328125,153,52,38,14,0
5339255824,13111,大田区,35.54479166666666,139.7359375,221,105,90,15,0
5339255831,13111,大田区,35.546875,139.7265625,1454,994,398,362,234
5339255832,13111,大田区,35.546875,139.7296875,1951,1133,538,362,233
5339255833,13111,大田区,35.54895833333333,139.7265625,824,866,273,361,232
5339255834,13111,大田区,35.54895833333333,139.7296875,1200,882,288,361,233
5339255841,13111,大田区,35.546875,139.7328125,1753,987,491,304,192
5339255842,13111,大田区,35.546875,139.7359375,751,721,228,303,190
5339255843,13111,大田区,35.54895833333333,139.7328125,1341,957,463,303,191
5339255844,13111,大田区,35.54895833333333,139.7359375,1101,865,370,303,192
5339255923,13111,大田区,35.54479166666666,139.7453125,615,275,186,89,0
5339255924,13111,大田区,35.54479166666666,139.74843750000002,310,183,93,90,0
5339255931,13111,大田区,35.546875,139.73906250000002,63,539,11,251,277
5339255932,13111,大田区,35.546875,139.74218750000003,917,836,308,251,277
5339255933,13111,大田区,35.54895833333333,139.73906250000002,215,579,53,251,275
5339255934,13111,大田区,35.54895833333333,139.74218750000003,1347,865,337,251,277
5339255941,13111,大田区,35.546875,139.7453125,1250,841,399,342,100
5339255942,13111,大田区,35.546875,139.74843750000002,1271,851,411,341,99
5339255943,13111,大田区,35.54895833333333,139.7453125,1221,774,334,341,99
5339255944,13111,大田区,35.54895833333333,139.74843750000002,1251,878,436,342,100
5339256534,13111,大田区,35.557291666666664,139.69218750000002,58,28,21,7,0
5339256543,13111,大田区,35.557291666666664,139.6953125,460,310,121,189,0
5339256544,13111,大田区,35.557291666666664,139.6984375,950,537,347,190,0
5339256612,13111,大田区,35.55104166666666,139.7046875,507,217,198,19,0
5339256614,13111,大田区,35.553124999999994,139.7046875,829,294,275,19,0
5339256621,13111,大田区,35.55104166666666,139.7078125,1240,814,419,284,111
5339256622,13111,大田区,35.55104166666666,139.7109375,1157,799,405,284,110
5339256623,13111,大田区,35.553124999999994,139.7078125,1545,869,474,284,111
5339256624,13111,大田区,35.553124999999994,139.7109375,1364,863,469,284,110
5339256631,13111,大田区,35.55520833333333,139.7015625,935,568,379,189,0
5339256632,13111,大田区,35.55520833333333,139.7046875,2298,871,683,188,0
5339256633,13111,大田区,35.557291666666664,139.7015625,1835,715,526,189,0
5339256634,13111,大田区,35.557291666666664,139.7046875,1774,700,512,188,0
5339256641,13111,大田区,35.55520833333333,139.7078125,1379,1039,383,259,397
5339256642,13111,大田区,35.55520833333333,139.7109375,879,843,186,259,398
5339256643,13111,大田区,35.557291666666664,139.7078125,1101,994,340,258,396
5339256644,13111,大田区,35.557291666666664,139.7109375,1132,916,260,259,397
5339256711,13111,大田区,35.55104166666666,139.7140625,1309,1122,351,556,215
5339256712,13111,大田区,35.55104166666666,139.71718750000002,964,993,224,555,214
5339256713,13111,大田区,35.553124999999994,139.7140625,1474,1183,415,555,213
5339256714,13111,大田区,35.553124999999994,139.71718750000002,1017,1046,276,556,214
5339256721,13111,大田区,35.55104166666666,139.7203125,1596,861,562,299,0
5339256722,13111,大田区,35.55104166666666,139.72343750000002,1356,647,348,299,0
5339256723,13111,大田区,35.553124999999994,139.7203125,1764,938,640,298,0
5339256724,13111,大田区,35.553124999999994,139.72343750000002,1554,761,462,299,0
5339256731,13111,大田区,35.55520833333333,139.7140625,2462,2462,793,1374,295
5339256732,13111,大田区,35.55520833333333,139.71718750000002,2088,2285,617,1374,294
5339256733,13111,大田区,35.557291666666664,139.7140625,402,1750,83,1373,294
5339256734,13111,大田区,35.557291666666664,139.71718750000002,1771,2153,483,1375,295
5339256741,13111,大田区,35.55520833333333,139.7203125,958,1576,291,1285,0
5339256742,13111,大田区,35.55520833333333,139.72343750000002,1038,1642,358,1284,0
5339256743,13111,大田区,35.557291666666664,139.7203125,1102,1529,245,1284,0
5339256744,13111,大田区,35.557291666666664,139.72343750000002,1507,1624,338,1286,0
5339256811,13111,大田区,35.55104166666666,139.7265625,1115,931,294,536,101
5339256812,13111,大田区,35.55104166666666,139.7296875,2546,1362,724,537,101
5339256813,13111,大田区,35.553124999999994,139.7265625,1439,1091,454,537,100
5339256814,13111,大田区,35.553124999999994,139.7296875,1440,984,347,537,100
5339256821,13111,大田区,35.55104166666666,139.7328125,1207,795,383,412,0
5339256822,13111,大田区,35.55104166666666,139.7359375,1186,725,314,411,0
5339256823,13111,大田区,35.553124999999994,139.7328125,1513,869,457,412,0
5339256824,13111,大田区,35.553124999999994,139.7359375,1493,727,315,412,0
5339256831,13111,大田区,35.55520833333333,139.7265625,1890,1103,520,468,115
5339256832,13111,大田区,35.55520833333333,139.7296875,1521,951,372,466,113
5339256833,13111,大田区,35.557291666666664,139.7265625,1146,878,298,467,113
5339256834,13111,大田区,35.557291666666664,139.7296875,1741,1065,484,467,114
5339256841,13111,大田区,35.55520833333333,139.7328125,1409,954,402,264,288
5339256842,13111,大田区,35.55520833333333,139.7359375,1364,897,346,263,288
5339256843,13111,大田区,35.557291666666664,139.7328125,1339,952,402,263,287
5339256844,13111,大田区,35.557291666666664,139.7359375,1378,873,322,263,288
5339256911,13111,大田区,35.55104166666666,139.73906250000002,1073,772,225,547,0
5339256912,13111,大田区,35.55104166666666,139.74218750000003,979,799,252,547,0
5339256913,13111,大田区,35.553124999999994,139.73906250000002,1298,914,367,547,0
5339256914,13111,大田区,35.553124999999994,139.74218750000003,1373,832,285,547,0
5339256921,13111,大田区,35.55104166666666,139.7453125,998,1694,241,1453,0
5339256922,13111,大田区,35.55104166666666,139.74843750000002,754,1635,181,1454,0
5339256923,13111,大田区,35.553124999999994,139.7453125,998,1681,227,1454,0
5339256924,13111,大田区,35.553124999999994,139.74843750000002,18,1455,1,1454,0
5339256931,13111,大田区,35.55520833333333,139.73906250000002,933,872,183,689,0
5339256932,13111,大田区,35.55520833333333,139.74218750000003,999,894,206,688,0
5339256933,13111,大田区,35.557291666666664,139.73906250000002,1078,921,233,688,0
5339256934,13111,大田区,35.557291666666664,139.74218750000003,1654,1046,357,689,0
5339256941,13111,大田区,35.55520833333333,139.7453125,721,575,162,413,0
5339256942,13111,大田区,35.55520833333333,139.74843750000002,16,416,3,413,0
5339256943,13111,大田区,35.557291666666664,139.7453125,653,760,347,413,0
5339256944,13111,大田区,35.557291666666664,139.74843750000002,1041,996,583,413,0
5339257423,13111,大田区,35.56145833333333,139.6828125,0,59,0,59,0
5339257424,13111,大田区,35.56145833333333,139.68593750000002,436,285,227,58,0
5339257432,13111,大田区,35.563541666666666,139.67968750000003,0,40,0,40,0
5339257434,13111,大田区,35.565625,139.67968750000003,0,41,0,41,0
5339257441,13111,大田区,35.563541666666666,139.6828125,2576,1255,688,427,140
5339257442,13111,大田区,35.563541666666666,139.68593750000002,1738,1204,639,426,139
5339257443,13111,大田区,35.565625,139.6828125,1359,854,291,425,138
5339257444,13111,大田区,35.565625,139.68593750000002,1266,928,361,427,140
5339257511,13111,大田区,35.559374999999996,139.6890625,308,566,87,334,145
5339257512,13111,大田区,35.559374999999996,139.69218750000002,1659,1061,582,334,145
5339257513,13111,大田区,35.56145833333333,139.6890625,1866,1351,873,334,144
5339257514,13111,大田区,35.56145833333333,139.69218750000002,1248,821,342,334,145
5339257521,13111,大田区,35.559374999999996,139.6953125,878,917,254,663,0
5339257522,13111,大田区,35.559374999999996,139.6984375,1173,1007,343,664,0
5339257523,13111,大田区,35.56145833333333,139.6953125,1627,1270,608,662,0
5339257524,13111,大田区,35.56145833333333,139.6984375,1383,1011,348,663,0
5339257531,13111,大田区,35.563541666666666,139.6890625,1428,1044,318,726,0
5339257532,13111,大田区,35.563541666666666,139.69218750000002,1064,981,255,726,0
5339257533,13111,大田区,35.565625,139.6890625,1536,1187,462,725,0
5339257534,13111,大田区,35.565625,139.69218750000002,1251,1072,347,725,0
5339257541,13111,大田区,35.563541666666666,139.6953125,1294,983,345,496,142
5339257542,13111,大田区,35.563541666666666,139.6984375,1185,906,267,496,143
5339257543,13111,大田区,35.565625,139.6953125,910,938,302,494,142
5339257544,13111,大田区,35.565625,139.6984375,1189,1050,411,496,143
5339257611,13111,大田区,35.559374999999996,139.7015625,1122,854,364,490,0
5339257612,13111,大田区,35.559374999999996,139.7046875,1387,904,413,491,0
5339257613,13111,大田区,35.56145833333333,139.7015625,1291,863,372,491,0
5339257614,13111,大田区,35.56145833333333,139.7046875,982,757,267,490,0
5339257621,13111,大田区,35.559374999999996,139.7078125,920,1599,285,955,359
5339257622,13111,大田区,35.559374999999996,139.7109375,1136,1644,329,956,359
