mesh_code,ward_ja,lat,lon,pop_total,hh_general,hh_single,hh_single_20s,hh_elderly_single,hh_with_under6,hh_in_housing,hh_owned,hh_private_rent,hh_public_rent,hh_detached,hh_apartment,hh_apt_15plus_bldg
5339254634,大田区,35.540625,139.7046875,504,275,136.0,17.0,55.0,10.0,273.0,110.0,60.0,96.0,19.0,254.0,0.0
5339254643,大田区,35.540625,139.7078125,1012,644,454.0,138.0,40.0,26.0,640.0,122.0,449.0,0.0,116.0,520.0,0.0
5339254644,大田区,35.540625,139.7109375,1059,534,254.0,36.0,72.0,38.0,531.0,278.0,189.0,36.0,134.0,395.0,0.0
5339254733,大田区,35.540625,139.7140625,313,143,63.0,6.0,2.0,25.0,143.0,1.0,0.0,0.0,1.0,142.0,0.0
5339255611,大田区,35.54270833333333,139.7015625,329,173,104.0,86.0,4.0,8.0,126.0,73.0,11.0,0.0,14.0,112.0,0.0
5339255612,大田区,35.54270833333333,139.7046875,1712,782,325.0,66.0,59.0,73.0,773.0,407.0,317.0,0.0,109.0,654.0,153.0
5339255613,大田区,35.54479166666666,139.7015625,448,173,48.0,6.0,13.0,38.0,173.0,157.0,13.0,0.0,47.0,126.0,114.0
5339255614,大田区,35.54479166666666,139.7046875,1722,729,263.0,38.0,98.0,58.0,729.0,457.0,145.0,65.0,171.0,558.0,0.0
5339255621,大田区,35.54270833333333,139.7078125,1928,939,511.0,162.0,116.0,64.0,878.0,354.0,373.0,0.0,203.0,669.0,0.0
5339255622,大田区,35.54270833333333,139.7109375,1199,663,380.0,87.0,63.0,35.0,659.0,292.0,297.0,0.0,198.0,456.0,0.0
5339255623,大田区,35.54479166666666,139.7078125,1513,642,294.0,101.0,40.0,35.0,623.0,351.0,223.0,3.0,173.0,450.0,0.0
5339255624,大田区,35.54479166666666,139.7109375,1745,891,402.0,53.0,144.0,53.0,881.0,443.0,248.0,150.0,104.0,775.0,0.0
5339255632,大田区,35.546875,139.7046875,1214,570,246.0,49.0,59.0,51.0,567.0,320.0,202.0,0.0,251.0,313.0,0.0
5339255634,大田区,35.54895833333333,139.7046875,517,239,105.0,19.0,42.0,23.0,239.0,149.0,69.0,0.0,149.0,88.0,0.0
5339255641,大田区,35.546875,139.7078125,2869,1083,251.0,31.0,62.0,418.0,1072.0,842.0,176.0,0.0,145.0,919.0,127.0
5339255642,大田区,35.546875,139.7109375,1506,748,357.0,86.0,80.0,68.0,735.0,354.0,228.0,89.0,179.0,552.0,24.0
5339255643,大田区,35.54895833333333,139.7078125,1340,617,248.0,39.0,91.0,50.0,604.0,357.0,210.0,0.0,302.0,299.0,0.0
5339255644,大田区,35.54895833333333,139.7109375,1561,748,379.0,72.0,94.0,40.0,744.0,391.0,294.0,0.0,277.0,465.0,0.0
5339255711,大田区,35.54270833333333,139.7140625,662,327,135.0,42.0,39.0,17.0,323.0,181.0,106.0,0.0,50.0,273.0,0.0
5339255712,大田区,35.54270833333333,139.71718750000002,2020,952,366.0,30.0,179.0,58.0,949.0,552.0,176.0,178.0,62.0,887.0,0.0
5339255713,大田区,35.54479166666666,139.7140625,1107,657,398.0,81.0,118.0,23.0,636.0,357.0,215.0,0.0,171.0,460.0,0.0
5339255714,大田区,35.54479166666666,139.71718750000002,1232,559,215.0,28.0,50.0,64.0,557.0,278.0,140.0,95.0,98.0,456.0,0.0
5339255721,大田区,35.54270833333333,139.7203125,270,116,40.0,11.0,6.0,7.0,98.0,81.0,12.0,0.0,11.0,83.0,0.0
5339255723,大田区,35.54479166666666,139.7203125,2349,1136,440.0,46.0,164.0,91.0,1134.0,337.0,125.0,646.0,69.0,1063.0,0.0
5339255724,大田区,35.54479166666666,139.72343750000002,1284,696,329.0,10.0,191.0,38.0,694.0,93.0,36.0,553.0,33.0,661.0,0.0
5339255731,大田区,35.546875,139.7140625,1504,815,423.0,154.0,77.0,64.0,803.0,380.0,266.0,0.0,64.0,735.0,0.0
5339255732,大田区,35.546875,139.71718750000002,1156,649,386.0,157.0,51.0,42.0,642.0,178.0,195.0,0.0,104.0,536.0,0.0
5339255733,大田区,35.54895833333333,139.7140625,1460,852,508.0,95.0,112.0,41.0,845.0,273.0,521.0,0.0,119.0,726.0,0.0
5339255734,大田区,35.54895833333333,139.71718750000002,1527,802,415.0,54.0,121.0,63.0,800.0,350.0,399.0,0.0,266.0,525.0,0.0
5339255741,大田区,35.546875,139.7203125,1820,883,414.0,75.0,89.0,51.0,881.0,333.0,348.0,162.0,255.0,623.0,0.0
5339255742,大田区,35.546875,139.72343750000002,1393,677,290.0,54.0,72.0,40.0,675.0,316.0,198.0,118.0,209.0,465.0,0.0
5339255743,大田区,35.54895833333333,139.7203125,2045,1175,700.0,179.0,137.0,40.0,1145.0,431.0,470.0,58.0,249.0,863.0,0.0
5339255744,大田区,35.54895833333333,139.72343750000002,1908,863,337.0,63.0,100.0,62.0,863.0,507.0,302.0,1.0,285.0,564.0,0.0
5339255813,大田区,35.54479166666666,139.7265625,799,375,155.0,14.0,68.0,27.0,373.0,155.0,83.0,114.0,87.0,286.0,0.0
5339255814,大田区,35.54479166666666,139.7296875,481,209,74.0,9.0,18.0,33.0,208.0,122.0,70.0,0.0,58.0,141.0,0.0
5339255823,大田区,35.54479166666666,139.7328125,168,67,14.0,1.0,6.0,10.0,66.0,54.0,10.0,0.0,16.0,49.0,0.0
5339255824,大田区,35.54479166666666,139.7359375,230,92,20.0,0.0,12.0,5.0,90.0,83.0,7.0,0.0,11.0,79.0,0.0
5339255831,大田区,35.546875,139.7265625,1625,790,366.0,56.0,77.0,73.0,781.0,231.0,182.0,212.0,86.0,694.0,0.0
5339255832,大田区,35.546875,139.7296875,2137,991,466.0,141.0,55.0,111.0,977.0,416.0,391.0,48.0,167.0,806.0,25.0
5339255833,大田区,35.54895833333333,139.7265625,888,419,187.0,41.0,60.0,35.0,407.0,254.0,131.0,0.0,244.0,152.0,0.0
5339255834,大田区,35.54895833333333,139.7296875,1311,750,461.0,141.0,64.0,40.0,743.0,291.0,331.0,25.0,164.0,579.0,69.0
5339255841,大田区,35.546875,139.7328125,1856,779,248.0,46.0,111.0,59.0,730.0,471.0,128.0,118.0,152.0,577.0,82.0
5339255842,大田区,35.546875,139.7359375,824,356,111.0,9.0,39.0,30.0,353.0,251.0,93.0,0.0,121.0,232.0,0.0
5339255843,大田区,35.54895833333333,139.7328125,1419,651,225.0,21.0,145.0,33.0,645.0,272.0,40.0,285.0,36.0,608.0,0.0
5339255844,大田区,35.54895833333333,139.7359375,1151,534,197.0,29.0,92.0,38.0,526.0,289.0,127.0,82.0,64.0,462.0,0.0
5339255923,大田区,35.54479166666666,139.7453125,666,336,161.0,27.0,63.0,11.0,332.0,180.0,135.0,0.0,189.0,143.0,0.0
5339255924,大田区,35.54479166666666,139.74843750000002,332,169,85.0,24.0,16.0,5.0,166.0,85.0,70.0,0.0,84.0,82.0,0.0
5339255931,大田区,35.546875,139.73906250000002,72,39,21.0,7.0,2.0,1.0,38.0,14.0,22.0,0.0,11.0,27.0,0.0
5339255932,大田区,35.546875,139.74218750000003,968,483,237.0,48.0,69.0,19.0,476.0,265.0,179.0,0.0,277.0,192.0,0.0
5339255933,大田区,35.54895833333333,139.73906250000002,250,140,82.0,17.0,8.0,9.0,139.0,26.0,107.0,0.0,24.0,115.0,0.0
5339255934,大田区,35.54895833333333,139.74218750000003,1477,788,444.0,134.0,93.0,47.0,701.0,266.0,346.0,0.0,235.0,463.0,0.0
