mesh_code,est_all,emp_all,est_manufacturing,emp_manufacturing,est_ict,emp_ict,est_wholesale_retail,emp_wholesale_retail,est_finance,emp_finance,est_real_estate,emp_real_estate,est_professional,emp_professional,est_accommodation_food,emp_accommodation_food,est_medical_welfare,emp_medical_welfare,lat,lon,ward_code,ward_ja
533925463,11,118,6,63,0,0,0,0,0,0,1,8,0,0,0,0,1,27,35.53958333333333,139.703125,13111,大田区
533925464,65,457,4,40,0,0,14,130,0,0,6,10,0,0,11,38,6,34,35.53958333333333,139.709375,13111,大田区
533925473,5,93,0,0,0,0,2,57,0,0,0,0,0,0,2,17,1,19,35.53958333333333,139.71562500000002,13111,大田区
533925561,95,1457,28,277,5,154,12,211,1,2,5,7,4,35,4,49,12,244,35.543749999999996,139.703125,13111,大田区
533925562,143,1594,37,271,1,2,25,413,0,0,14,32,5,24,12,36,13,325,35.543749999999996,139.709375,13111,大田区
533925563,46,224,23,96,0,0,2,1,0,0,7,19,1,8,1,1,2,22,35.547916666666666,139.703125,13111,大田区
533925564,132,774,30,168,2,3,25,133,0,0,15,38,6,11,10,95,10,125,35.547916666666666,139.709375,13111,大田区
533925571,164,1687,72,617,1,1,20,402,2,6,6,17,8,36,9,27,5,79,35.543749999999996,139.71562500000002,13111,大田区
533925572,69,649,24,139,3,4,11,50,0,0,1,3,3,66,5,85,5,40,35.543749999999996,139.721875,13111,大田区
533925573,209,1790,40,240,3,7,46,453,5,104,10,31,5,8,25,162,23,162,35.547916666666666,139.71562500000002,13111,大田区
533925574,256,1716,90,484,3,6,42,427,2,8,11,32,5,33,20,63,20,230,35.547916666666666,139.721875,13111,大田区
533925581,37,179,25,60,0,0,2,14,0,0,2,8,0,0,1,1,1,34,35.543749999999996,139.728125,13111,大田区
533925582,4,58,2,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,35.543749999999996,139.734375,13111,大田区
533925583,175,1441,75,626,1,1,26,238,2,2,13,29,4,25,5,36,10,79,35.547916666666666,139.728125,13111,大田区
533925584,136,1209,65,343,2,15,16,281,0,0,6,14,2,31,6,27,8,165,35.547916666666666,139.734375,13111,大田区
533925593,118,1001,28,151,1,1,22,96,0,0,6,11,1,5,5,65,9,52,35.547916666666666,139.74062500000002,13111,大田区
533925594,174,1362,18,102,1,1,38,311,1,21,14,41,6,26,21,70,14,178,35.547916666666666,139.74687500000002,13111,大田区
533925662,183,1132,31,172,1,1,41,191,1,4,13,31,4,10,16,37,17,129,35.55208333333333,139.709375,13111,大田区
533925663,125,752,42,218,3,7,23,182,0,0,8,16,5,9,3,9,9,68,35.55625,139.703125,13111,大田区
533925664,122,1031,17,112,1,2,20,103,1,11,6,18,7,12,9,41,13,260,35.55625,139.709375,13111,大田区
533925671,336,2215,14,40,3,5,95,877,3,17,18,65,5,5,70,387,43,312,35.55208333333333,139.71562500000002,13111,大田区
533925672,177,1191,40,213,0,0,29,171,0,0,12,66,5,104,17,41,14,298,35.55208333333333,139.721875,13111,大田区
533925673,159,5482,23,124,2,3947,25,160,3,16,24,80,9,145,17,38,8,47,35.55625,139.71562500000002,13111,大田区
533925674,239,5118,35,238,7,258,63,1830,8,107,24,177,16,148,15,125,20,687,35.55625,139.721875,13111,大田区
533925681,326,2140,25,122,5,10,68,444,10,350,34,130,10,41,59,269,35,327,35.55208333333333,139.728125,13111,大田区
533925682,215,1642,51,360,2,11,41,273,2,2,23,74,5,17,18,169,6,199,35.55208333333333,139.734375,13111,大田区
533925683,272,1862,24,176,0,0,66,450,4,22,41,138,4,20,36,218,39,542,35.55625,139.728125,13111,大田区
533925684,165,1049,32,119,1,10,37,196,2,4,25,42,5,11,8,33,15,160,35.55625,139.734375,13111,大田区
533925691,258,2201,32,197,3,25,60,522,3,51,29,128,10,59,50,507,20,373,35.55208333333333,139.74062500000002,13111,大田区
