order_id,order_date,customer_id,gender,age_group,product_id,product_name,category,unit_price,quantity,amount
O00001,2024-01-01,C016,female,40s,P02,Knit Sweater,Tops,6900,1,6900
O00001,2024-01-01,C016,female,40s,P05,Skinny Denim,Bottoms,7900,1,7900
O00001,2024-01-01,C016,female,40s,P18,Shoulder Bag,Bags,9800,1,9800
O00002,2024-01-01,C075,female,20s,P19,Scarf,Accessories,2900,1,2900
O00003,2024-01-02,C071,female,40s,P05,Skinny Denim,Bottoms,7900,1,7900
O00003,2024-01-02,C071,female,40s,P14,Sneakers,Shoes,8900,1,8900
O00004,2024-01-02,C073,male,20s,P08,Chino Pants,Bottoms,5900,1,5900
O00005,2024-01-02,C112,female,50+,P14,Sneakers,Shoes,8900,1,8900
O00006,2024-01-03,C012,female,10s,P03,Blouse,Tops,4900,1,4900
O00006,2024-01-03,C012,female,10s,P04,Hoodie,Tops,5900,1,5900
O00006,2024-01-03,C012,female,10s,P20,Cap,Accessories,2400,1,2400
O00007,2024-01-03,C125,female,30s,P14,Sneakers,Shoes,8900,1,8900
O00008,2024-01-05,C028,female,20s,P19,Scarf,Accessories,2900,1,2900
O00009,2024-01-05,C040,female,40s,P09,Trench Coat,Outerwear,24800,1,24800
O00010,2024-01-06,C005,female,20s,P02,Knit Sweater,Tops,6900,1,6900
O00010,2024-01-06,C005,female,20s,P15,Loafers,Shoes,11800,1,11800
O00011,2024-01-06,C106,male,30s,P05,Skinny Denim,Bottoms,7900,1,7900
O00011,2024-01-06,C106,male,30s,P09,Trench Coat,Outerwear,24800,1,24800
O00012,2024-01-06,C121,female,50+,P10,Down Jacket,Outerwear,19800,1,19800
O00013,2024-01-06,C128,female,40s,P12,Shirt Dress,Dresses,8900,1,8900
O00013,2024-01-06,C128,female,40s,P15,Loafers,Shoes,11800,1,11800
O00014,2024-01-07,C007,male,50+,P18,Shoulder Bag,Bags,9800,1,9800
O00015,2024-01-07,C041,female,20s,P19,Scarf,Accessories,2900,1,2900
O00015,2024-01-07,C041,female,20s,P20,Cap,Accessories,2400,1,2400
O00016,2024-01-07,C057,female,40s,P10,Down Jacket,Outerwear,19800,1,19800
O00017,2024-01-07,C106,male,30s,P04,Hoodie,Tops,5900,2,11800
O00018,2024-01-08,C013,female,20s,P07,Pleated Skirt,Bottoms,5900,2,11800
O00018,2024-01-08,C013,female,20s,P17,Tote Bag,Bags,6900,1,6900
O00019,2024-01-08,C025,female,20s,P09,Trench Coat,Outerwear,24800,1,24800
O00019,2024-01-08,C025,female,20s,P19,Scarf,Accessories,2900,2,5800
O00020,2024-01-08,C026,male,30s,P04,Hoodie,Tops,5900,1,5900
O00021,2024-01-09,C006,male,40s,P09,Trench Coat,Outerwear,24800,1,24800
O00021,2024-01-09,C006,male,40s,P17,Tote Bag,Bags,6900,1,6900
O00022,2024-01-09,C035,female,40s,P04,Hoodie,Tops,5900,1,5900
O00022,2024-01-09,C035,female,40s,P07,Pleated Skirt,Bottoms,5900,1,5900
O00023,2024-01-09,C146,female,30s,P16,Ankle Boots,Shoes,13800,1,13800
O00024,2024-01-10,C124,male,40s,P06,Wide Pants,Bottoms,6900,1,6900
O00024,2024-01-10,C124,male,40s,P15,Loafers,Shoes,11800,1,11800
O00025,2024-01-11,C134,female,50+,P16,Ankle Boots,Shoes,13800,2,27600
O00026,2024-01-11,C145,female,50+,P05,Skinny Denim,Bottoms,7900,1,7900
O00026,2024-01-11,C145,female,50+,P06,Wide Pants,Bottoms,6900,1,6900
O00026,2024-01-11,C145,female,50+,P08,Chino Pants,Bottoms,5900,1,5900
O00027,2024-01-12,C003,female,40s,P01,T-shirt,Tops,2900,1,2900
O00028,2024-01-12,C006,male,40s,P06,Wide Pants,Bottoms,6900,2,13800
O00028,2024-01-12,C006,male,40s,P17,Tote Bag,Bags,6900,1,6900
O00029,2024-01-12,C016,female,40s,P06,Wide Pants,Bottoms,6900,1,6900
O00030,2024-01-12,C048,male,20s,P06,Wide Pants,Bottoms,6900,1,6900
O00030,2024-01-12,C048,male,20s,P07,Pleated Skirt,Bottoms,5900,1,5900
O00031,2024-01-12,C076,male,40s,P06,Wide Pants,Bottoms,6900,1,6900
O00032,2024-01-12,C098,female,20s,P02,Knit Sweater,Tops,6900,2,13800
O00033,2024-01-12,C111,male,20s,P04,Hoodie,Tops,5900,1,5900
O00033,2024-01-12,C111,male,20s,P07,Pleated Skirt,Bottoms,5900,1,5900
O00034,2024-01-13,C023,female,20s,P06,Wide Pants,Bottoms,6900,1,6900
O00034,2024-01-13,C023,female,20s,P08,Chino Pants,Bottoms,5900,1,5900
O00035,2024-01-13,C122,male,30s,P15,Loafers,Shoes,11800,1,11800
O00035,2024-01-13,C122,male,30s,P16,Ankle Boots,Shoes,13800,1,13800
O00036,2024-01-13,C144,female,40s,P19,Scarf,Accessories,2900,1,2900
O00037,2024-01-14,C001,male,10s,P02,Knit Sweater,Tops,6900,1,6900
O00037,2024-01-14,C001,male,10s,P06,Wide Pants,Bottoms,6900,1,6900
O00038,2024-01-14,C012,female,10s,P16,Ankle Boots,Shoes,13800,1,13800
O00039,2024-01-14,C039,female,20s,P01,T-shirt,Tops,2900,1,2900
O00039,2024-01-14,C039,female,20s,P10,Down Jacket,Outerwear,19800,1,19800
O00040,2024-01-14,C043,female,20s,P08,Chino Pants,Bottoms,5900,2,11800
O00041,2024-01-15,C010,female,10s,P06,Wide Pants,Bottoms,6900,2,13800
