station_name,lines,operators,passengers_per_day,lat,lon
新宿,4,京王電鉄・小田急電鉄・東京地下鉄・東日本旅客鉄道,2984711,35.69095195724186,139.70000800445354
池袋,4,東京地下鉄・東日本旅客鉄道・東武鉄道・西武鉄道,2308170,35.729865000000004,139.71105875
渋谷,4,京王電鉄・東京地下鉄・東急電鉄・東日本旅客鉄道,2129874,35.658708778630476,139.70166772052494
東京,3,東京地下鉄・東日本旅客鉄道・東海旅客鉄道,1176902,35.681342361417,139.76647710846234
北千住,4,東京地下鉄・東日本旅客鉄道・東武鉄道・首都圏新都市鉄道,1121423,35.74945369259271,139.80495261287263
品川,3,京浜急行電鉄・東日本旅客鉄道・東海旅客鉄道,853436,35.62848207615995,139.73890091054545
高田馬場,3,東京地下鉄・東日本旅客鉄道・西武鉄道,783543,35.71287604350815,139.70428257604246
新橋,4,ゆりかもめ・東京地下鉄・東京都・東日本旅客鉄道,772142,35.66596657615072,139.75900461769072
秋葉原,3,東京地下鉄・東日本旅客鉄道・首都圏新都市鉄道,647929,35.69844584794307,139.77435708919995
目黒,2,東急電鉄・東日本旅客鉄道,636632,35.63270673907999,139.71575971863152
押上,3,京成電鉄・東京地下鉄・東武鉄道,559147,35.709051579850666,139.81329328905971
上野,2,東京地下鉄・東日本旅客鉄道,505392,35.712473823514415,139.77662279813995
大手町,2,東京地下鉄・東京都,412394,35.68547272300589,139.7644066038675
蒲田,2,東急電鉄・東日本旅客鉄道,399179,35.5621275,139.71531
中野,1,東日本旅客鉄道,386657,35.70574,139.665605
有楽町,2,東京地下鉄・東日本旅客鉄道,385674,35.675506878362995,139.7627729803168
大崎,1,東日本旅客鉄道,375884,35.619945,139.72824500000002
綾瀬,1,東京地下鉄,372622,35.762285000000006,139.82489
五反田,3,東京都・東急電鉄・東日本旅客鉄道,364894,35.62613403085803,139.72391404332635
中目黒,1,東急電鉄,363724,35.64410802023008,139.69883242519444
西日暮里,3,東京地下鉄・東京都・東日本旅客鉄道,359263,35.73270690093424,139.76726525568782
日暮里,3,京成電鉄・東京都・東日本旅客鉄道,351334,35.72822608766354,139.77133088428067
大井町,3,東京臨海高速鉄道・東急電鉄・東日本旅客鉄道,349469,35.607298187401405,139.73449855437133
恵比寿,2,東京地下鉄・東日本旅客鉄道,340535,35.64685988170703,139.7094126705525
市ヶ谷,3,東京地下鉄・東京都・東日本旅客鉄道,311646,35.69183470618953,139.7363430480901
飯田橋,3,東京地下鉄・東京都・東日本旅客鉄道,309863,35.7015489489337,139.74530074736757
小竹向原,1,東京地下鉄,301371,35.743395,139.67952000000002
錦糸町,2,東京地下鉄・東日本旅客鉄道,287869,35.69707971928501,139.81463810959298
四ツ谷,2,東京地下鉄・東日本旅客鉄道,283228,35.68492457559721,139.7302896514666
新木場,3,東京地下鉄・東京臨海高速鉄道・東日本旅客鉄道,282481,35.64586833333333,139.8266833333333
九段下,1,東京地下鉄,258062,35.6960918116116,139.7512653932729
代々木上原,1,小田急電鉄,257017,35.669017156585646,139.67988396111394
浜松町,1,東日本旅客鉄道,253334,35.65541,139.757125
日本橋,2,東京地下鉄・東京都,250883,35.68198295958315,139.77493436223244
荻窪,2,東京地下鉄・東日本旅客鉄道,242043,35.7043025,139.6200025
田町,1,東日本旅客鉄道,238712,35.64574,139.74760500000002
豊洲,2,ゆりかもめ・東京地下鉄,235987,35.65442939143342,139.79571472148626
神田,2,東京地下鉄・東日本旅客鉄道,229362,35.692742499999994,139.7708825
下北沢,2,京王電鉄・小田急電鉄,225967,35.661525,139.6669575
御茶ノ水,2,東京地下鉄・東日本旅客鉄道,223836,35.7000175,139.76471750000002
浅草,4,東京地下鉄・東京都・東武鉄道・首都圏新都市鉄道,218792,35.711381576509574,139.79630333310752
三軒茶屋,2,東急電鉄,217582,35.643738894575975,139.6701836156936
銀座,1,東京地下鉄,217244,35.67198360963998,139.7640074019246
巣鴨,2,東京都・東日本旅客鉄道,216984,35.73375,139.7391925
神保町,2,東京地下鉄・東京都,212604,35.69548446008157,139.75802654971835
新宿三丁目,2,東京地下鉄・東京都,211041,35.69101,139.7053725
泉岳寺,1,東京都,195118,35.638130000000004,139.73973
練馬,2,東京都・西武鉄道,190677,35.737624999999994,139.654505
六本木,2,東京地下鉄・東京都,184804,35.6634325,139.731215
赤羽,1,東日本旅客鉄道,183284,35.777615325752045,139.7212128030415
水道橋,2,東京都・東日本旅客鉄道,181828,35.702820354762146,139.75443370752083
門前仲町,2,東京地下鉄・東京都,177594,35.67232666381028,139.7956083262007
王子,2,東京地下鉄・東日本旅客鉄道,171699,35.75339757434851,139.73778588602033
日比谷,2,東京地下鉄・東京都,170457,35.67544550065237,139.76037284599317
表参道,1,東京地下鉄,168791,35.665042546166966,139.71247269514538
八丁堀,2,東京地下鉄・東日本旅客鉄道,161065,35.67499413971079,139.7776622263404
青山一丁目,2,東京地下鉄・東京都,158303,35.67285499789958,139.72406349552278
大森,1,東日本旅客鉄道,156466,35.58891543504658,139.7281493368919
東銀座,2,東京地下鉄・東京都,155571,35.66938352196207,139.7673868254343
浅草橋,2,東京都・東日本旅客鉄道,153123,35.6974975,139.7854725
西武新宿,1,西武鉄道,143181,35.69617069420037,139.70006279053797
新小岩,1,東日本旅客鉄道,141472,35.71679036818752,139.85764657450267
代々木,2,東京都・東日本旅客鉄道,140168,35.6837875,139.7018675
二子玉川,1,東急電鉄,138041,35.61136910306788,139.62635674138463
月島,2,東京地下鉄・東京都,132744,35.66430293000202,139.7842451718846
自由が丘,1,東急電鉄,132419,35.607270890069685,139.66869828197622
亀戸,2,東日本旅客鉄道・東武鉄道,130374,35.69753826644278,139.8269049676466
原宿,1,東日本旅客鉄道,129970,35.671315928623564,139.70270635911868
霞ヶ関,1,東京地下鉄,128553,35.673874999999995,139.75106
駒込,2,東京地下鉄・東日本旅客鉄道,121822,35.736387296058666,139.7474817513882
御徒町,1,東日本旅客鉄道,121704,35.707195,139.774715
人形町,2,東京地下鉄・東京都,117029,35.68630217670895,139.78225529748897
小岩,1,東日本旅客鉄道,116612,35.733329999999995,139.88185
東陽町,1,東京地下鉄,111204,35.66959,139.81768
三越前,1,東京地下鉄,110666,35.68492855939112,139.77307990901926
中野坂上,2,東京地下鉄・東京都,108819,35.69748,139.6825825
馬喰横山,1,東京都,106131,35.69200616366663,139.78292173076954
茅場町,1,東京地下鉄,105877,35.68034578914659,139.7792703037315
大塚,1,東日本旅客鉄道,104504,35.731785,139.72794
羽田空港第1・第2ターミナル,1,京浜急行電鉄,101471,35.54971877943373,139.7858581712239
両国,2,東京都・東日本旅客鉄道,100835,35.69626254387046,139.79539053698346
三田,1,東京都,99494,35.64790342988933,139.74946881938848
後楽園,1,東京地下鉄,99051,35.707306676989475,139.7508602690998
京成高砂,1,京成電鉄,97368,35.75087,139.86659
新御徒町,2,東京都・首都圏新都市鉄道,97104,35.70694156887639,139.7821249023959
明治神宮前,1,東京地下鉄,96345,35.669123333510385,139.7039434662559
金町,1,東日本旅客鉄道,95976,35.76951,139.87039
葛西,1,東京地下鉄,95955,35.6636167072847,139.87252979567853
東中野,2,東京都・東日本旅客鉄道,95799,35.70681,139.684165
大門,1,東京都,95470,35.65664589041732,139.75467296526122
西葛西,1,東京地下鉄,94293,35.66456196875437,139.85960016265994
新大久保,1,東日本旅客鉄道,93452,35.70093,139.700255
清澄白河,2,東京地下鉄・東京都,93138,35.68253206685764,139.79925099240307
住吉,2,東京地下鉄・東京都,92207,35.688827996796626,139.81570637044763
高円寺,1,東日本旅客鉄道,92138,35.705324352558506,139.6497000218581
虎ノ門,1,東京地下鉄,91260,35.67016,139.75012
明大前,1,京王電鉄,90831,35.668358848403834,139.6505553094069
モノレール浜松町,1,東京モノレール,90384,35.655745,139.75667
赤羽岩淵,1,東京地下鉄,89097,35.783355,139.72211
神谷町,1,東京地下鉄,88969,35.662625,139.74472500000002
赤坂見附,1,東京地下鉄,86493,35.67684521856045,139.73734734787502
新御茶ノ水,1,東京地下鉄,83430,35.696925,139.76545
西荻窪,1,東日本旅客鉄道,83258,35.70378411029978,139.59945006337526
勝どき,1,東京都,81077,35.65894834272844,139.77715250309294
阿佐ヶ谷,1,東日本旅客鉄道,80642,35.70487849902413,139.6358550389263
経堂,1,小田急電鉄,79305,35.651189986912485,139.6366750330443
早稲田,2,東京地下鉄・東京都,79193,35.7087775,139.7206225
大泉学園,1,西武鉄道,78557,35.74935086643097,139.58680376214994
田端,1,東日本旅客鉄道,78462,35.737475,139.761575
成城学園前,1,小田急電鉄,78145,35.640135,139.59908
町屋,2,京成電鉄・東京地下鉄,78075,35.74218721963412,139.78078586948334
西新宿,1,東京地下鉄,77992,35.694515,139.69256
亀有,1,東日本旅客鉄道,77840,35.76654272407273,139.84755462053553
千歳烏山,1,京王電鉄,77686,35.667835,139.600375
南千住,3,東京地下鉄・東日本旅客鉄道・首都圏新都市鉄道,76950,35.733309416960466,139.79917901320184
茗荷谷,1,東京地下鉄,76244,35.7172,139.736895
東日本橋,1,東京都,75870,35.6917814732825,139.78478555542344
東新宿,2,東京地下鉄・東京都,75455,35.69886198503997,139.70776773243412
石神井公園,1,西武鉄道,74675,35.74364,139.606555
溜池山王,1,東京地下鉄,74616,35.671511270087144,139.74194259183557
赤坂,1,東京地下鉄,74174,35.67210476367322,139.73641362793123
蔵前,2,東京都,73473,35.704327934003075,139.7915533860177
麻布十番,2,東京地下鉄・東京都,72688,35.655649999999994,139.73657500000002
外苑前,1,東京地下鉄,72412,35.670375,139.717825
永田町,1,東京地下鉄,72244,35.67833880034605,139.73928767150642
半蔵門,1,東京地下鉄,71847,35.685379999999995,139.741695
駒沢大学,1,東急電鉄,71168,35.633035,139.66096499999998
笹塚,1,京王電鉄,70603,35.67366,139.667175
学芸大学,1,東急電鉄,70598,35.62877,139.68524
森下,1,東京都,70246,35.68805226185926,139.79819503573822
本郷三丁目,2,東京地下鉄・東京都,70103,35.70714835665236,139.76038432863479
小川町,1,東京都,69171,35.695213884310846,139.76686034644453
木場,1,東京地下鉄,69105,35.66935530788944,139.80711513310746
六本木一丁目,1,東京地下鉄,68808,35.665075,139.7389
水天宮前,1,東京地下鉄,68185,35.683000685428304,139.78517144792607
国際展示場,1,東京臨海高速鉄道,67666,35.63441,139.791695
春日,1,東京都,67327,35.709948964094146,139.75324119877672
十条,1,東日本旅客鉄道,66724,35.76039,139.72225
目白,1,東日本旅客鉄道,65746,35.720389999999995,139.70628
桜新町,1,東急電鉄,65657,35.631714655971834,139.6454681161248
竹ノ塚,1,東武鉄道,65257,35.79437,139.79072
板橋,1,東日本旅客鉄道,63704,35.74499143848436,139.71917278420284
用賀,1,東急電鉄,63244,35.62660904913333,139.6342300193753
西新井,1,東武鉄道,61612,35.77728,139.790365
池尻大橋,1,東急電鉄,60918,35.65073720754252,139.68475880931433
平井,1,東日本旅客鉄道,59946,35.70644911766051,139.84238557932866
白金高輪,1,東京地下鉄,59415,35.643145000000004,139.734285
京急蒲田,1,京浜急行電鉄,59288,35.56169002601472,139.7243268381091
築地,1,東京地下鉄,58868,35.667927090977415,139.77247336006792
南砂町,1,東京地下鉄,58300,35.668415,139.831695
広尾,1,東京地下鉄,56837,35.651499960412586,139.72220861331044
船堀,1,東京都,56792,35.683785,139.863855
下高井戸,2,京王電鉄・東急電鉄,55456,35.66598309126417,139.64179466269033
淡路町,1,東京地下鉄,54977,35.694869999999995,139.76745499999998
光が丘,1,東京都,54950,35.75847,139.62923999999998
初台,1,京王電鉄,54828,35.68142,139.68827
東武練馬,1,東武鉄道,54406,35.768649999999994,139.66254
千歳船橋,1,小田急電鉄,54215,35.64767500000001,139.62453
麹町,1,東京地下鉄,54142,35.684785000000005,139.73735
上野御徒町,1,東京都,52906,35.70795895846549,139.77306485515322
瑞江,1,東京都,52849,35.69339,139.89781
天王洲アイル,2,東京モノレール・東京臨海高速鉄道,52836,35.621795,139.75089499999999
武蔵小山,1,東急電鉄,51900,35.62051,139.70447
新宿西口,1,東京都,51581,35.693160000000006,139.69916
成増,1,東武鉄道,51425,35.77756407648159,139.6329427002254
京橋,1,東京地下鉄,50698,35.67670362917037,139.77010915362402
中井,2,東京都・西武鉄道,50641,35.7144675,139.6864775
岩本町,1,東京都,49899,35.695572233127415,139.77518498043207
江戸川橋,1,東京地下鉄,48975,35.709295,139.73413
大久保,1,東日本旅客鉄道,48622,35.700635,139.69744500000002
上板橋,1,東武鉄道,48520,35.763615,139.67620499999998
馬喰町,1,東日本旅客鉄道,48064,35.69337585163105,139.78243042181398
地下鉄成増,1,東京地下鉄,47806,35.776740000000004,139.63117
新宿御苑前,1,東京地下鉄,47369,35.688525,139.710915
中延,2,東京都・東急電鉄,46943,35.605447500000004,139.71307000000002
青砥,1,京成電鉄,46937,35.74587,139.85627
大山,1,東武鉄道,46657,35.748379999329586,139.70265352550237
鶯谷,1,東日本旅客鉄道,46468,35.721455,139.77803
都庁前,1,東京都,46002,35.69059,139.69262500000002
祖師ヶ谷大蔵,1,小田急電鉄,45932,35.643265,139.609795
白山,1,東京都,45428,35.72133438764698,139.75221167168957
都立大学,1,東急電鉄,45350,35.617850000000004,139.67644
大岡山,1,東急電鉄,45216,35.607175840031665,139.68473477741625
虎ノ門ヒルズ,1,東京地下鉄,45172,35.66733,139.747775
京成上野,1,京成電鉄,45083,35.71131,139.77351
東十条,1,東日本旅客鉄道,44082,35.76383992844972,139.7267338964791
三ノ輪,1,東京地下鉄,43935,35.729285000000004,139.791165
東池袋,1,東京地下鉄,42748,35.72595,139.718865
信濃町,1,東日本旅客鉄道,42654,35.679948274310384,139.72109906962672
浮間舟渡,1,東日本旅客鉄道,42462,35.79128877347846,139.69139553611927
汐留,2,ゆりかもめ・東京都,42454,35.663950884615886,139.76067178042166
羽田空港第3ターミナル,2,京浜急行電鉄・東京モノレール,42284,35.54444688901846,139.7678315017062
西馬込,1,東京都,42045,35.587305,139.70632
平和島,1,京浜急行電鉄,42038,35.57868788368847,139.73494946082144
ときわ台,1,東武鉄道,41939,35.758905,139.68876
東京テレポート,1,東京臨海高速鉄道,41593,35.627085,139.77805999999998
一之江,1,東京都,41531,35.68594,139.88289
平和台,1,東京地下鉄,41269,35.757555,139.65429999999998
四谷三丁目,1,東京地下鉄,41217,35.687835,139.719325
竹橋,1,東京地下鉄,40940,35.69044,139.75767000000002
御成門,1,東京都,40727,35.66098159434185,139.75149195042263
北綾瀬,1,東京地下鉄,40648,35.77689,139.83209499999998
上石神井,1,西武鉄道,39751,35.726195000000004,139.59229
仲御徒町,1,東京地下鉄,39625,35.706655,139.77619
護国寺,1,東京地下鉄,39316,35.71918,139.72744999999998
乃木坂,1,東京地下鉄,39229,35.66659190737817,139.7262285374502
地下鉄赤塚,1,東京地下鉄,39180,35.76998056394939,139.64400032898536
要町,1,東京地下鉄,38864,35.733215,139.69848000000002
神楽坂,1,東京地下鉄,38583,35.703865,139.73452
国会議事堂前,1,東京地下鉄,38545,35.67356521672406,139.7431878654645
篠崎,1,東京都,38263,35.70612,139.903885
方南町,1,東京地下鉄,38148,35.683515,139.657935
旗の台,1,東急電鉄,38032,35.605135000000004,139.703315
中村橋,1,西武鉄道,37326,35.736670000000004,139.63717
高井戸,1,京王電鉄,37317,35.683260000000004,139.61523
久我山,1,京王電鉄,37302,35.688140000000004,139.59932500000002
千川,1,東京地下鉄,37251,35.738175,139.6894
氷川台,1,東京地下鉄,36844,35.74962,139.66547
八幡山,1,京王電鉄,36715,35.670075,139.61448
入谷,1,東京地下鉄,36239,35.72056489094509,139.7844665359898
湯島,1,東京地下鉄,35983,35.70680514473694,139.76998071704492
北赤羽,1,東日本旅客鉄道,35908,35.787001227254784,139.7057771798332
新富町,1,東京地下鉄,35708,35.67052842471174,139.7735943686183
西早稲田,1,東京地下鉄,35647,35.707806110104,139.70911937483814
西大井,1,東日本旅客鉄道,35376,35.60169912329355,139.7216070647351
板橋本町,1,東京都,35317,35.7611,139.705605
曙橋,1,東京都,35291,35.69233,139.72258
小伝馬町,1,東京地下鉄,35203,35.69042267403542,139.77875733422746
内幸町,1,東京都,35015,35.66917731467235,139.75533540270595
新日本橋,1,東日本旅客鉄道,34836,35.68903468960572,139.7742966650917
王子神谷,1,東京地下鉄,34794,35.76529199616504,139.73564094986617
桜上水,1,京王電鉄,34766,35.66764,139.631465
五反野,1,東武鉄道,34729,35.765905000000004,139.80963
駒場東大前,1,京王電鉄,34257,35.65867,139.684075
青物横丁,1,京浜急行電鉄,34242,35.60919,139.743135
赤羽橋,1,東京都,34237,35.654970000000006,139.744195
梅島,1,東武鉄道,34181,35.772345,139.79807499999998
池上,1,東急電鉄,34089,35.571947028056414,139.70282022985242
新高円寺,1,東京地下鉄,34052,35.69786,139.64851
品川シーサイド,1,東京臨海高速鉄道,33688,35.609790000000004,139.749795
京成立石,1,京成電鉄,33675,35.73819,139.84816
板橋区役所前,1,東京都,33494,35.751305,139.710055
田原町,1,東京地下鉄,33290,35.70991708777005,139.79030645676127
千駄ヶ谷,1,東日本旅客鉄道,33134,35.68119560211545,139.71153008829475
新中野,1,東京地下鉄,32950,35.697475,139.66951
二重橋前,1,東京地下鉄,32782,35.680505,139.76178
六町,1,首都圏新都市鉄道,32300,35.78478,139.82180499999998
銀座一丁目,1,東京地下鉄,32240,35.67451957577969,139.7667862605805
東高円寺,1,東京地下鉄,31918,35.697965,139.658295
西小山,1,東急電鉄,31458,35.615435000000005,139.69871
お花茶屋,1,京成電鉄,31424,35.747615,139.839885
梅ヶ丘,1,小田急電鉄,31170,35.65602,139.65355
西新宿五丁目,1,東京都,31076,35.689899999999994,139.684665
江古田,1,西武鉄道,30837,35.737465,139.672785
大島,1,東京都,30671,35.68976261331114,139.83436026368346
千石,1,東京都,30408,35.727965,139.744745
下丸子,1,東急電鉄,30381,35.571325,139.68549000000002
喜多見,1,小田急電鉄,30211,35.636498394848324,139.58677899893675
尾山台,1,東急電鉄,30063,35.606935,139.65412
雑色,1,京浜急行電鉄,29756,35.549775,139.715035
