StudentID,LifeSatisfaction,StudyHours,AttendanceRate,FriendCount,SleepHours,ExerciseHours,MentalStress,InternetUse,PartTimeHours
S0001,7.0,4.8,80.0,0,6.6,0.2,2,3.0,3
S0002,6.4,4.4,100.0,3,7.5,0.4,3,3.9,5
S0003,6.2,10.2,86.0,3,6.6,1.1,3,4.8,7
S0004,5.7,11.5,86.0,6,5.5,6.2,4,6.8,13
S0005,4.7,14.0,76.0,5,6.9,0.8,8,1.6,14
S0006,6.3,14.2,93.0,2,5.5,3.4,2,7.8,3
S0007,3.2,17.1,93.0,5,5.7,3.9,7,3.6,10
S0008,3.8,20.0,73.0,5,6.4,1.0,8,2.6,10
S0009,6.6,14.7,90.0,7,7.7,2.7,4,3.2,8
S0010,4.7,11.0,93.0,2,6.0,1.5,4,6.3,10
S0011,5.0,20.9,76.0,5,5.9,2.2,6,5.2,6
S0012,4.7,18.6,82.0,5,6.4,0.5,8,6.4,8
S0013,4.7,10.8,84.0,3,5.3,7.6,10,3.1,24
S0014,4.1,26.0,80.0,5,4.9,0.7,7,6.5,20
S0015,3.7,0.0,90.0,7,4.9,1.8,8,3.7,17
S0016,6.6,13.1,81.0,4,6.2,4.4,4,4.9,5
S0017,7.7,6.0,72.0,6,6.6,1.1,3,2.7,6
S0018,9.0,8.2,88.0,2,5.3,0.2,2,3.4,0
S0019,8.2,6.9,81.0,11,6.1,0.7,3,2.9,10
S0020,7.1,16.4,78.0,6,5.4,4.9,4,5.7,23
S0021,5.6,10.2,94.0,5,5.1,2.4,6,5.5,9
S0022,7.6,22.4,73.0,5,8.8,2.4,3,0.2,0
S0023,6.1,18.1,75.0,7,6.2,7.0,7,4.2,20
S0024,5.7,2.8,91.0,4,6.1,1.5,5,4.2,5
S0025,7.2,23.2,74.0,7,7.5,1.8,4,1.6,13
S0026,7.4,14.1,72.0,5,7.5,1.3,4,1.8,3
S0027,3.9,15.7,90.0,4,3.9,6.6,9,6.1,17
S0028,6.4,23.4,96.0,9,5.4,3.1,6,3.4,9
S0029,8.9,10.0,77.0,12,5.7,7.7,3,5.6,2
S0030,4.8,18.3,83.0,2,3.8,2.8,3,5.5,11
S0031,5.6,4.4,83.0,4,6.9,3.8,9,0.2,24
S0032,7.5,20.0,89.0,4,5.1,4.7,4,6.5,4
S0033,5.0,16.7,100.0,5,5.9,1.3,8,1.4,12
S0034,6.6,19.3,84.0,4,6.1,7.1,8,2.9,12
S0035,7.8,15.4,90.0,1,7.1,3.6,1,3.6,6
S0036,2.8,24.6,90.0,3,6.0,0.6,8,4.7,9
S0037,5.4,15.1,73.0,3,5.7,2.8,5,4.7,16
S0038,5.8,28.0,91.0,4,6.4,3.1,3,3.4,1
S0039,6.6,4.1,81.0,5,6.8,1.7,4,3.6,1
S0040,4.4,17.1,87.0,6,5.2,4.7,6,4.7,25
S0041,5.8,9.5,91.0,2,5.9,4.2,6,5.6,16
S0042,7.4,16.6,85.0,10,5.6,0.6,6,3.2,6
S0043,5.6,10.9,73.0,2,5.7,6.8,4,4.9,2
S0044,4.2,14.8,63.0,8,6.0,5.2,8,4.8,8
S0045,4.5,1.2,75.0,2,6.1,3.4,8,2.7,15
S0046,4.2,14.7,87.0,3,4.8,3.6,9,3.3,9
S0047,4.3,8.7,73.0,2,5.9,0.8,7,3.7,13
S0048,2.7,10.1,76.0,5,3.5,2.1,9,8.2,10
S0049,3.4,16.2,84.0,5,5.0,1.1,9,4.6,10
S0050,4.1,15.4,95.0,11,5.0,1.7,7,5.5,10
S0051,3.1,24.3,85.0,3,5.5,8.6,7,5.5,16
S0052,5.6,17.9,81.0,5,5.7,0.5,6,2.9,6
S0053,6.3,20.5,69.0,7,6.8,2.0,6,4.9,11
S0054,5.7,22.0,88.0,6,6.9,2.2,7,1.1,12
S0055,8.8,12.6,88.0,3,7.3,4.0,2,1.5,14
S0056,7.1,8.9,84.0,7,5.8,0.4,5,4.9,6
S0057,5.4,8.6,77.0,5,6.4,2.2,6,3.3,30
S0058,8.4,26.3,80.0,7,5.4,2.5,1,4.6,5
S0059,7.4,10.4,69.0,4,5.5,3.0,2,5.2,21
S0060,3.1,13.5,86.0,1,5.5,0.6,8,7.9,9
S0061,8.0,16.4,81.0,9,6.9,2.2,3,3.9,6
S0062,5.9,13.6,92.0,4,6.2,1.2,4,4.3,2
S0063,9.2,19.8,88.0,14,8.3,2.9,6,0.2,4
S0064,8.3,23.6,100.0,7,4.4,5.5,4,6.6,7
S0065,7.0,22.3,83.0,2,5.0,6.4,3,4.1,7
S0066,6.9,24.3,96.0,2,5.5,4.7,4,3.0,4
S0067,4.4,18.2,87.0,6,6.1,3.4,4,5.8,12
S0068,5.7,15.3,69.0,5,4.5,3.2,4,4.2,18
S0069,5.6,15.0,94.0,4,6.7,4.6,6,2.8,10
S0070,4.4,16.3,87.0,9,5.6,0.3,8,2.6,12
S0071,5.8,12.9,80.0,7,6.1,2.9,6,5.4,3
S0072,4.8,14.5,88.0,2,6.0,1.5,8,6.0,8
S0073,6.4,17.5,77.0,7,5.8,3.4,7,4.2,8
S0074,4.0,7.2,79.0,4,4.9,1.3,7,3.9,11
S0075,3.8,0.0,64.0,4,3.9,3.6,6,8.2,12
S0076,5.6,11.4,83.0,3,7.1,0.8,5,3.5,8
S0077,9.2,12.4,84.0,13,7.0,0.7,6,2.4,6
S0078,5.2,17.3,90.0,3,5.3,2.5,6,5.5,7
S0079,7.1,12.1,87.0,4,6.5,2.8,3,3.1,11
S0080,7.3,3.7,84.0,9,7.9,2.4,7,1.7,4
S0081,6.4,5.2,86.0,5,6.0,1.6,6,4.8,18
S0082,6.8,9.7,87.0,4,7.2,3.7,6,3.5,9
S0083,7.0,14.4,85.0,8,4.8,0.5,4,7.6,2
S0084,6.6,18.3,88.0,8,5.7,0.1,1,5.1,0
S0085,4.1,20.0,92.0,2,4.8,3.2,8,6.3,8
S0086,3.3,12.6,94.0,1,5.1,2.2,5,6.8,12
S0087,6.9,8.7,92.0,7,6.9,0.4,1,5.6,10
S0088,5.0,10.0,69.0,7,4.4,0.6,6,6.4,5
S0089,6.7,14.5,90.0,4,7.5,0.8,4,2.3,3
S0090,4.6,15.6,73.0,7,5.6,5.7,7,2.7,3
S0091,6.9,15.5,82.0,4,6.5,2.0,5,4.1,5
S0092,4.6,20.8,89.0,4,4.5,2.6,7,6.3,10
S0093,3.7,4.3,74.0,1,5.4,1.7,6,5.4,10
S0094,6.9,18.6,66.0,2,7.6,0.7,6,5.7,11
S0095,4.2,18.4,64.0,4,4.9,2.0,5,6.2,19
S0096,3.9,22.2,88.0,5,5.9,3.9,8,4.1,8
S0097,7.2,30.2,64.0,7,6.3,1.0,3,3.0,5
S0098,3.3,12.0,86.0,7,4.6,4.7,8,2.9,15
S0099,4.5,22.7,94.0,2,5.5,5.6,7,7.1,5
S0100,7.7,15.6,72.0,11,6.5,4.7,4,1.3,6
S0101,6.7,21.4,84.0,9,5.6,1.1,5,1.8,10
S0102,6.2,19.1,90.0,2,5.4,2.2,4,5.0,10
S0103,7.7,13.3,94.0,6,7.2,3.3,5,2.4,5
S0104,4.4,18.2,99.0,8,3.9,3.7,7,5.4,5
S0105,7.2,13.5,70.0,6,7.3,2.8,4,2.8,11
S0106,4.3,7.3,78.0,3,4.3,2.0,7,4.1,16
S0107,6.4,10.2,80.0,7,6.7,1.6,7,2.6,18
S0108,4.2,20.9,89.0,7,4.8,1.1,6,5.2,9
S0109,4.7,11.8,82.0,9,4.4,1.2,8,4.9,18
S0110,5.7,18.9,80.0,4,6.6,5.7,5,7.1,9
S0111,6.4,10.9,80.0,8,5.6,4.2,7,5.4,10
S0112,3.8,3.0,82.0,3,5.5,2.6,10,5.3,25
S0113,5.8,18.1,77.0,3,5.5,1.9,5,2.7,13
S0114,6.5,5.0,79.0,4,7.0,5.3,5,3.7,1
S0115,7.1,7.7,93.0,13,7.0,0.1,5,3.2,13
S0116,5.6,8.7,83.0,4,6.9,3.3,6,1.0,12
S0117,7.2,14.4,78.0,6,6.3,2.6,4,1.6,2
