respondent_id,gender,age_group,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,satisfaction,comment_ja,comment_en
R001,female,40s,4,3,2,3,3,3,4,4,3,2,2,2,5,,
R002,male,20s,2,2,3,3,3,2,2,3,4,4,4,3,4,環境に配慮した素材を増やしてほしいです。,Please use more eco-friendly materials.
R003,female,10s,3,5,3,4,4,4,2,1,2,3,3,2,2,他にない個性的なデザインが好きです。セールの情報をメールで知りたいです。,I like the unique designs you can't find elsewhere. I want to get sale announcements by email.
R004,female,30s,3,3,2,1,3,2,3,4,4,3,2,2,4,セールの情報をメールで知りたいです。,I want to get sale announcements by email.
R005,female,20s,1,2,3,2,4,3,5,3,3,3,4,3,4,サイズ表をもっと詳しくしてほしいです。価格が高めなので買うのを迷います。,"Please make the size chart more detailed. The prices are a bit high, so I hesitate to buy."
R006,male,20s,3,3,3,5,3,4,5,5,5,2,2,4,4,リサイクルの取り組みがあると嬉しいです。価格が高めなので買うのを迷います。,"A recycling program would be nice. The prices are a bit high, so I hesitate to buy."
R007,male,30s,2,2,2,3,3,3,4,2,3,2,4,3,4,セールをもっと頻繁にしてほしいです。,I'd like more frequent sales.
R008,female,20s,4,5,3,3,4,3,5,4,4,3,3,2,4,,
R009,male,30s,4,4,4,1,3,2,4,4,3,4,4,3,4,価格が高めなので買うのを迷います。,"The prices are a bit high, so I hesitate to buy."
R010,female,10s,5,5,5,4,4,5,2,1,3,2,3,3,1,セールの情報をメールで知りたいです。サイズ感が分かりにくいです。,I want to get sale announcements by email. It's hard to tell how the sizes fit.
R011,male,20s,3,4,4,3,2,4,3,5,4,3,4,4,3,,
R012,male,40s,1,4,1,2,1,4,5,5,4,3,2,2,4,過剰な包装を減らしてほしいです。生地がしっかりしていて長く着られます。,Please reduce excessive packaging. The fabric is sturdy and lasts a long time.
R013,male,30s,3,4,4,2,3,3,3,3,2,3,2,2,3,送料無料の金額をもう少し下げてほしいです。,Please lower the minimum order for free shipping.
R014,male,50+,4,4,3,3,3,3,4,5,4,4,3,3,3,リサイクルの取り組みがあると嬉しいです。配送が早くて助かりました。,"A recycling program would be nice. Delivery was fast, which was helpful."
R015,female,40s,1,1,2,3,3,2,3,5,5,4,3,4,5,環境に配慮した素材を増やしてほしいです。,Please use more eco-friendly materials.
R016,male,20s,4,3,4,5,3,3,4,4,2,3,4,2,3,クーポンがあると嬉しいです。,Coupons would be nice.
R017,female,20s,3,5,4,2,3,3,3,4,4,3,3,2,4,リサイクルの取り組みがあると嬉しいです。返品の手続きが簡単で安心です。,"A recycling program would be nice. Returns are easy, which is reassuring."
R018,female,30s,2,3,4,2,1,2,4,5,4,2,2,2,4,サイトが見やすくて買いやすいです。,The website is easy to browse and shop on.
R019,female,10s,3,2,3,4,2,4,1,1,1,3,3,4,2,サイズ感が分かりにくいです。,It's hard to tell how the sizes fit.
R020,female,10s,3,3,3,4,4,4,1,5,3,2,3,4,4,返品の送料が無料だと嬉しいです。配送が早くて助かりました。,"Free return shipping would be great. Delivery was fast, which was helpful."
R021,female,40s,5,5,4,3,3,2,3,4,4,1,3,2,4,アプリがあると便利だと思います。,An app would be convenient.
R022,female,40s,3,4,3,2,2,2,5,5,5,2,1,1,4,返品の手続きが簡単で安心です。商品の写真をもっと増やしてほしいです。,"Returns are easy, which is reassuring. Please add more product photos."
R023,male,20s,4,5,5,1,3,3,4,4,3,3,2,2,4,学生には値段が少し高いです。サイズ表をもっと詳しくしてほしいです。,The prices are a bit expensive for students. Please make the size chart more detailed.
R024,female,40s,2,2,2,3,3,4,3,4,4,2,3,2,3,着用モデルの身長を載せてほしいです。,Please show the height of the models.
R025,female,30s,4,3,4,2,3,3,2,4,2,3,4,3,2,デザインがかわいくて気に入っています。,I love the cute designs.
R026,female,40s,3,3,2,3,3,4,4,5,4,3,1,3,5,返品の手続きが簡単で安心です。,"Returns are easy, which is reassuring."
R027,female,20s,4,5,3,4,3,4,4,3,4,2,2,4,2,着用モデルの身長を載せてほしいです。,Please show the height of the models.
R028,female,30s,2,2,3,4,4,4,3,5,2,2,3,3,3,,
R029,female,50+,1,2,1,3,4,3,4,3,4,4,5,5,4,サイトが見やすくて買いやすいです。,The website is easy to browse and shop on.
R030,female,40s,2,3,3,1,3,3,4,5,3,1,2,3,4,サイトが見やすくて買いやすいです。,The website is easy to browse and shop on.
R031,female,20s,1,4,3,3,4,3,4,4,5,3,3,3,5,,
