"Time","ユニクロ","UNIQLO","ジーユー","GU"
"2025-09-21",45,21,2,21
"2025-09-28",54,20,3,25
"2025-10-05",52,21,3,23
"2025-10-12",56,23,3,26
"2025-10-19",72,30,3,29
"2025-10-26",70,46,3,30
"2025-11-02",69,73,3,27
"2025-11-09",67,74,3,26
"2025-11-16",88,100,4,32
"2025-11-23",84,97,3,30
"2025-11-30",61,72,3,25
"2025-12-07",62,69,3,25
"2025-12-14",67,73,2,22
"2025-12-21",60,68,2,21
"2025-12-28",78,88,3,24
"2026-01-04",52,58,2,19
"2026-01-11",49,56,2,18
"2026-01-18",46,52,2,16
"2026-01-25",46,51,2,17
"2026-02-01",45,52,2,16
"2026-02-08",44,49,1,15
"2026-02-15",42,47,2,17
"2026-02-22",40,47,2,20
"2026-03-01",40,47,2,19
"2026-03-08",40,50,2,20
"2026-03-15",57,62,2,21
"2026-03-22",51,58,2,23
"2026-03-29",48,56,2,24
"2026-04-05",48,58,3,24
"2026-04-12",51,61,3,24
"2026-04-19",55,66,4,28
"2026-04-26",54,65,3,25
"2026-05-03",56,67,3,24
"2026-05-10",48,58,2,22
"2026-05-17",67,80,3,24
"2026-05-24",61,71,2,24
"2026-05-31",46,51,2,18
"2026-06-07",44,52,2,17
"2026-06-14",43,50,2,21
"2026-06-21",39,45,2,18
"2026-06-28",42,49,2,17
"2026-07-05",41,48,2,19
"2026-07-12",46,52,2,22
"2026-07-19",47,52,2,19
"2026-07-26",41,47,2,19
"2026-08-02",42,48,2,17
"2026-08-09",41,45,2,18
"2026-08-16",35,39,2,17
"2026-08-23",36,21,2,15
"2026-08-30",37,6,2,16
"2026-09-06",39,8,2,18
"2026-09-13",43,8,3,22
"2026-09-20",48,9,3,24
