"Time","ユニクロ","UNIQLO","ジーユー","GU"
"2021-09-01",55,0,4,26
"2021-10-01",80,0,6,36
"2021-11-01",96,0,6,39
"2021-12-01",91,0,6,37
"2022-01-01",71,0,4,26
"2022-02-01",53,0,4,24
"2022-03-01",61,1,5,29
"2022-04-01",72,16,5,31
"2022-05-01",73,1,4,28
"2022-06-01",66,1,5,27
"2022-07-01",57,0,4,23
"2022-08-01",47,1,3,22
"2022-09-01",57,1,4,26
"2022-10-01",87,6,6,38
"2022-11-01",90,5,6,34
"2022-12-01",88,6,5,34
"2023-01-01",75,19,4,25
"2023-02-01",55,12,4,24
"2023-03-01",59,9,6,32
"2023-04-01",65,13,5,31
"2023-05-01",67,12,5,27
"2023-06-01",56,14,4,26
"2023-07-01",53,10,4,24
"2023-08-01",48,8,3,21
"2023-09-01",50,12,4,26
"2023-10-01",70,11,5,33
"2023-11-01",96,10,5,34
"2023-12-01",76,3,4,28
"2024-01-01",60,1,3,22
"2024-02-01",47,1,3,22
"2024-03-01",50,1,3,28
"2024-04-01",61,2,3,29
"2024-05-01",60,24,3,26
"2024-06-01",56,13,3,25
"2024-07-01",49,7,3,23
"2024-08-01",47,5,2,21
"2024-09-01",53,8,3,25
"2024-10-01",63,53,4,32
"2024-11-01",92,52,5,39
"2024-12-01",82,12,3,31
"2025-01-01",60,53,2,24
"2025-02-01",49,26,2,21
"2025-03-01",55,4,3,26
"2025-04-01",59,2,3,28
"2025-05-01",66,6,4,29
"2025-06-01",63,27,3,25
"2025-07-01",55,26,2,22
"2025-08-01",49,26,2,20
"2025-09-01",48,22,2,22
"2025-10-01",73,32,4,32
"2025-11-01",91,100,4,34
"2025-12-01",76,83,3,28
"2026-01-01",63,69,2,21
"2026-02-01",52,59,2,21
"2026-03-01",56,64,3,26
"2026-04-01",66,74,4,30
"2026-05-01",70,82,3,28
"2026-06-01",51,61,2,23
"2026-07-01",51,60,2,24
"2026-08-01",46,47,2,21
"2026-09-01",49,9,3,24
