ward_ja,density,aging,foreign,daynight_log,single_hh,child_hh,moved,bicycle
千代田区,5667.5366,16.4543,4.0928,3.2194,57.2765,8.0767,41.45,8.4558
中央区,16665.9869,14.5793,4.4001,1.7444,52.8854,9.9873,42.095,11.5964
港区,12532.2375,16.5278,6.7395,1.8845,57.3081,8.6623,34.3738,8.8643
新宿区,19266.3897,17.9902,7.7672,1.2695,67.6918,4.7967,33.2398,10.5043
文京区,21189.452,17.7114,3.5797,0.6752,57.6466,7.25,34.1885,11.3094
台東区,21102.9849,22.2083,6.7725,0.6639,59.2966,5.5424,31.2138,17.399
墨田区,19974.3288,21.9137,3.8784,0.0828,52.3355,6.8734,29.2124,19.4323
江東区,12098.5373,21.1322,5.4869,0.2572,46.7365,8.3891,26.7635,18.0213
品川区,18346.1932,18.8109,2.8169,0.4642,57.4161,7.2295,32.45,12.2146
目黒区,19748.0828,19.2787,3.0062,0.0901,53.2226,6.9729,29.9146,12.3037
大田区,12055.4579,21.6352,2.7122,-0.0368,53.5914,6.3332,28.432,20.462
世田谷区,16129.6686,20.1175,2.3757,-0.1247,51.0129,7.1255,29.7683,16.9938
渋谷区,16307.3512,16.8089,3.5663,1.4143,64.4679,5.6906,32.6536,10.6675
中野区,21887.9045,19.2688,4.445,-0.1266,62.1247,5.1919,31.3566,15.9903
杉並区,17283.1174,19.8068,2.3864,-0.2214,58.7049,5.9848,30.2054,16.3716
豊島区,23183.0206,19.3177,8.3677,0.5562,64.0602,5.1503,31.2142,12.3245
北区,17373.57,24.5372,5.7992,-0.0146,52.3681,6.8765,28.7944,15.6685
荒川区,21162.5169,23.248,7.7335,-0.1262,49.509,7.2359,25.2503,21.1697
板橋区,18156.0337,22.7128,3.9273,-0.1329,54.3615,6.2079,26.6213,18.6883
練馬区,15539.6032,21.1073,2.4304,-0.3401,47.6915,7.2464,27.31,22.3422
足立区,13048.1031,24.3499,4.2606,-0.1727,47.4661,6.5356,22.7977,26.2758
葛飾区,12895.5717,24.814,4.2373,-0.227,43.3138,7.4344,22.8061,26.3814
江戸川区,14260.3148,20.8935,4.577,-0.3027,44.7563,7.9442,24.6756,25.2061
